                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3251,                 4.2211,                 2.1374,                0.00222,                0.33333,                0.01223,                0.00194,                 2.5676,                 4.6355,                 2.3345,                0.00012,                0.00012,                0.00012
                      2,                 1.8624,                 3.2631,                 1.5955,                0.00511,                0.76667,                0.18236,                0.07157,                 1.9167,                 3.9834,                 1.5148,             0.00024713,             0.00024713,             0.00024713
                      3,                  1.688,                 2.2516,                 1.3996,                0.00578,                0.86667,                0.12034,                 0.0558,                 1.8537,                 3.6976,                 1.3602,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.7388,                 2.1138,                 1.3247,                0.00533,                    0.8,                0.12903,                0.07162,                 1.8281,                 3.7989,                 1.3411,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.5764,                 2.4213,                 1.2222,                0.00578,                0.86667,                0.51777,                0.22217,                 1.8921,                 3.6698,                 1.3434,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.7108,                 1.8517,                 1.3949,                0.00511,                0.76667,                 0.4461,                 0.2016,                 1.9088,                 3.6963,                 1.4393,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.6258,                 1.8188,                 1.3981,                0.00511,                0.76667,                0.31974,                0.15525,                 1.7988,                 3.6403,                 1.3555,             0.00067488,             0.00067488,             0.00067488
                      8,                 1.5687,                 1.8097,                 1.4086,                      1,                0.30412,                0.54139,                0.22018,                 2.0135,                 3.4512,                 1.5368,             0.00071885,             0.00071885,             0.00071885
                      9,                 1.4414,                 1.4759,                 1.3022,                      1,                0.43653,                0.58434,                0.32798,                 1.8042,                 3.1334,                  1.375,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.4498,                 1.4246,                  1.288,                      1,                0.35394,                0.70077,                0.37564,                 1.9067,                 3.0787,                 1.4369,             0.00076521,             0.00076521,             0.00076521
                     11,                 1.5527,                 1.8365,                 1.2903,                      1,                0.16785,                0.65373,                0.30175,                 1.9552,                 3.0738,                 1.4447,              0.0007676,              0.0007676,              0.0007676
                     12,                 1.6266,                 1.8516,                 1.3624,                      1,                0.45563,                0.70994,                0.32054,                 1.9493,                 2.8735,                 1.4712,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.2929,                 2.3083,                 1.0808,                0.92523,                0.41307,                0.64192,                 0.2956,                 1.9164,                 2.8788,                 1.5241,              0.0007308,              0.0007308,              0.0007308
                     14,                 1.4348,                 1.5867,                 1.2514,                0.94991,                0.63221,                0.70191,                 0.3445,                 1.9931,                  2.578,                 1.4856,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.3868,                 1.5503,                 1.2807,                0.79349,                0.64062,                0.63646,                0.33244,                 1.8925,                 2.3324,                 1.4648,               0.000614,               0.000614,               0.000614
                     16,                 1.4877,                 1.5557,                 1.2355,                0.90076,                0.60535,                0.70893,                 0.3318,                 1.9827,                 2.4034,                 1.4523,               0.000614,               0.000614,               0.000614
                     17,                 1.2459,                 2.2239,                 1.0363,                0.94728,                  0.599,                0.75545,                0.35639,                 1.9899,                 2.2231,                 1.4592,               0.000515,               0.000515,               0.000515
                     18,                 1.2884,                 1.4942,                 1.2001,                 0.6977,                0.73333,                0.74879,                0.37257,                 2.0172,                 1.9172,                  1.457,               0.000416,               0.000416,               0.000416
                     19,                  1.384,                 1.5681,                 1.1644,                0.91386,                0.56667,                0.75152,                0.38192,                 1.9906,                 1.8838,                 1.4581,               0.000317,               0.000317,               0.000317
                     20,                 1.3554,                 1.4207,                 1.2411,                  0.827,                0.63753,                0.77079,                0.38802,                 1.9623,                 1.8596,                 1.4446,               0.000218,               0.000218,               0.000218
